,flux
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.2878716830406965
30,0.5886893188438236
31,0.885559675758416
32,1.1824294266702304
33,1.2933666753735706
34,1.3119396317371155
35,1.324718609834836
36,1.3375011385036935
37,1.3502836671725509
38,1.3630661958414079
39,1.3758522750813802
40,1.388634803750251
41,1.4014137818479844
42,1.413350417301167
43,1.4250269429504308
44,1.4366963348237742
45,1.4459324699007294
46,1.4497414278801921
47,1.4507854078830882
48,1.4513009107657535
49,1.451816413648399
50,1.4523319165310467
51,1.452843680960112
52,1.4533629222963913
53,1.4538784251789874
54,1.4543901896080949
55,1.4549094309443105
56,1.4554249338269873
57,1.4559404367096653
58,1.4564559395923067
59,1.456967704021353
60,1.4574869453576216
61,1.458002448240277
62,1.4585142126693695
63,1.4590334540056111
64,1.459545218434688
65,1.4600607213173404
66,1.4605762241999742
67,1.4610690583779187
68,1.4613844002380734
69,1.4616922586484538
70,1.4620038587837612
71,1.462319200643892
72,1.4626308007791717
73,1.4629386591895466
74,1.4632502593248493
75,1.4635656011849922
76,1.4638772013202634
77,1.4641888014555313
78,1.4644966598659492
79,1.4648082600012176
80,1.4651236018613663
81,1.46543520199667
82,1.4657468021319384
83,1.466058402267208
84,1.466370002402483
85,1.4666816025377463
86,1.4669894609481662
87,1.4673010610834263
88,1.4676126612187257
89,1.4679242613539696
90,1.4682358614892779
91,1.4685512033494146
92,1.4688628034847109
93,1.469174403619958
94,1.4694822620303591
95,1.4697938621656612
96,1.4701092040258115
97,1.4704170624362127
98,1.4707286625714784
99,1.4710440044316202
100,1.471355604566906
101,1.4716672047021497
102,1.4719750631125736
103,1.4722866632478513
104,1.4725982633831227
105,1.4729098635184013
106,1.473072410074816
107,1.4731074098463284
108,1.4731074098463268
109,1.4731074098463295
110,1.473107409846321
111,1.4731111574118794
112,1.4731111574118902
113,1.473107409846342
114,1.4731074098463388
115,1.4731074098463115
116,1.473111157411881
117,1.4731074098463564
118,1.4731111574118716
119,1.4731111574118867
